Geographic Area,Name of the source,Country,Type of Document,Year
Europe & Central Asia,PocketConfidant AI ,France,Private Company,2019
Europe & Central Asia,Telia Company,Sweden,Private Company,2019
Europe & Central Asia,DeepMind,UK,Private Company,2019
Middle East & North Africa,Deloitte (XE),United Arab Emirates ,Private Company,2019
North America,AT&T,USA,Private Company,2019
North America,Salesforce,USA,Private Company,2019
Europe & Central Asia,The Alan Turing Institute,UK,Research/Professional Organization,2019
Europe & Central Asia,Women Leading in AI,UK (Global),Research/Professional Organization,2019
Latin America & Caribbean,IA-LATAM,Latin America,Research/Professional Organization,2019
North America,IEEE,USA / Global,Research/Professional Organization,2019
North America,Joint European and North American Multisociety in Radiology,USA / Europe,Research/Professional Organization,2019
Europe,European Banking Federation,Belgium,Intergovernmental Organization/Agency,2019
Europe,Fraunhofer Institute for Intelligent Analysis and Information Systems IAIS,Germany,Research/Professional Organization,2019
East Asia & Pacific,Personal Data Protection Commission of Singapore,Singapore,Government Agency,2020
Europe & Central Asia,AstraZeneca,UK,Private Company,2020
Europe & Central Asia,HSBC,UK,Private Company,2020
Europe & Central Asia,Machine Intelligence Garage,UK,Private Company,2020
Europe & Central Asia,NXP,The Netherlands,Private Company,2020
Europe & Central Asia,Data Service Alliance,Switzerland,Research/Professional Organization,2020
Europe & Central Asia,Alpha Health,Spain,Private Company,2020
Europe & Central Asia,BMW ,Germany,Private Company,2020
Europe & Central Asia,Bosch,Germany,Private Company,2020
Europe & Central Asia,Turkcell,Turkey,Private Company,2020
Europe & Central Asia,Philips,The Netherlands,Private Company,2020
Europe & Central Asia,"Bertelsmann Stiftung, AI Ethics Impact Group",Germany,Research/Professional Organization,2020
Europe & Central Asia,"Koninklijke Bibliotheek, National Library of the Netherlands",The Netherlands,Research/Professional Organization,2020
Europe & Central Asia,The Pontifical Academy for Life,Vatican,Research/Professional Organization,2020
Middle East & North Africa,NICE RPA,Israel,Private Company,2020
North America,"Executive Office of the President, Office of Management and Budget",USA,Government Agency,2020
North America,U.S. Department of Transportation,USA,Government Agency,2020
North America,US Department of Defense,USA,Government Agency,2020
North America,Deloitte (US),USA,Private Company,2020
North America,Deloitte AI Institute ,USA,Private Company,2020
North America,IBM,USA,Private Company,2020
North America,Regions Financial,USA,Private Company,2020
South Asia,Allerin,India,Private Company,2020
North America,Paravision,USA,Private Company,2021
